[ 2015-07-19T22:43:38+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --START--
[ 2015-07-19T22:43:38+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run CheckRoute Behavior [ RunTime:0.000834s ]
[ 2015-07-19T22:43:38+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000903s ]
[ 2015-07-19T22:43:38+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --START--
[ 2015-07-19T22:43:38+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000565s ]
[ 2015-07-19T22:43:38+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000611s ]
[ 2015-07-19T22:43:39+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --START--
[ 2015-07-19T22:43:39+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run CheckRoute Behavior [ RunTime:0.000742s ]
[ 2015-07-19T22:43:39+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000804s ]
[ 2015-07-19T22:43:39+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --START--
[ 2015-07-19T22:43:39+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000496s ]
[ 2015-07-19T22:43:39+08:00 ] /fweibo/index.php/User/index/uname/%E5%AD%99%E9%B3%84%E6%A2%A8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000538s ]
