[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Tag[ app_begin ] --START--
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000643s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000719s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | SQL: SHOW COLUMNS FROM `hd_follow` [ RunTime:0.072700s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | SQL: SELECT `follow` FROM `hd_follow` WHERE ( `fans` = '2' )  [ RunTime:0.000285s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.006571s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.016005s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | SQL: SHOW COLUMNS FROM `hd_picture` [ RunTime:0.007440s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('2','5','5','4') )  [ RunTime:0.000430s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Tag[ view_template ] --START--
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000797s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000854s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Tag[ view_parse ] --START--
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | SQL: SELECT `style` FROM `hd_userinfo` WHERE ( `uid` = '2' ) LIMIT 1   [ RunTime:0.000296s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | SQL: SELECT `username` FROM `hd_userinfo` WHERE ( `uid` = '2' ) LIMIT 1   [ RunTime:0.000172s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | SQL: SHOW COLUMNS FROM `hd_group` [ RunTime:0.005175s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '2' )  [ RunTime:0.000332s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '2' )  [ RunTime:0.000288s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: page e9ca3d00a40c8a0e158f18fe2252bc69.php 第 413 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 421 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: face e9ca3d00a40c8a0e158f18fe2252bc69.php 第 422 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: username e9ca3d00a40c8a0e158f18fe2252bc69.php 第 422 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 426 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: username e9ca3d00a40c8a0e158f18fe2252bc69.php 第 426 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 430 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: follow e9ca3d00a40c8a0e158f18fe2252bc69.php 第 430 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 431 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: fans e9ca3d00a40c8a0e158f18fe2252bc69.php 第 431 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 433 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 445 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: face e9ca3d00a40c8a0e158f18fe2252bc69.php 第 446 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 449 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: username e9ca3d00a40c8a0e158f18fe2252bc69.php 第 449 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: count e9ca3d00a40c8a0e158f18fe2252bc69.php 第 450 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 452 行.
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Run ParseTemplate Behavior [ RunTime:0.147319s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.147362s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Tag[ view_filter ] --START--
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Run ContentReplace Behavior [ RunTime:0.000728s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Run TokenBuild Behavior [ RunTime:0.000408s ]
[ 2015-07-20T09:10:36+08:00 ] /fweibo/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000319s ]
