[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001697s ]
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001787s ]
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000521s ]
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000559s ]
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.008965s ]
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.009011s ]
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.035971s ]
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.036047s ]
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001185s ]
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000963s ]
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000789s ]
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001065s ]
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004166s ]
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000846s ]
[ 2015-07-21T14:26:39+08:00 ] /fweibo/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000886s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | INFO: Tag[ app_begin ] --START--
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001226s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001331s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | SQL: SHOW COLUMNS FROM `hd_follow` [ RunTime:0.068012s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | SQL: SELECT `follow` FROM `hd_follow` WHERE ( `fans` = '2' )  [ RunTime:0.000308s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.006230s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.017732s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | SQL: SHOW COLUMNS FROM `hd_picture` [ RunTime:0.009737s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | SQL: SELECT COUNT(*) AS tp_count FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('2','5','5','4') ) LIMIT 1   [ RunTime:0.000393s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('2','5','5','4') ) ORDER BY weibo.time desc  [ RunTime:0.000410s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | INFO: Tag[ view_template ] --START--
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001176s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001233s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | INFO: Tag[ view_parse ] --START--
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | SQL: SELECT `style` FROM `hd_userinfo` WHERE ( `uid` = '2' ) LIMIT 1   [ RunTime:0.000311s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | SQL: SELECT `username` FROM `hd_userinfo` WHERE ( `uid` = '2' ) LIMIT 1   [ RunTime:0.000171s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | SQL: SHOW COLUMNS FROM `hd_group` [ RunTime:0.005215s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '2' )  [ RunTime:0.000257s ]
[ 2015-07-21T14:26:57+08:00 ] /fweibo/index.php | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '2' )  [ RunTime:0.000170s ]
